Title;DOI
Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.1007/s00253-024-13089-3
Suberin deficiency and its effect on the transport physiology of young poplar roots;10.1111/nph.19588
FNEWS-Jahresprodukte 2018 bis 2022 [Datenpublikation];10.3220/DATA20240307175924-0
Large-scale agricultural investments and local food security - Evidence from a mixed-method case study in Benin;10.1007/s12571-023-01429-6
"Working Group on Surveys on Ichthyoplankton in the North Sea and Adjacent Seas (WGSINS; outputs from 2023 meeting)";10.17895/ices.pub.25212692
Analyse der Inanspruchnahme von ausgewählten Agrarumwelt- und Klimamaßnahmen und des Ökologischen Landbaus (Akzeptanzanalyse) : NRW-Programm Ländlicher Raum 2014 bis 2022;10.3220/5LE1710321294000
Is a sense of community based on similarity? The perception of shared values and citizens' EU identity;10.1080/14782804.2024.2317947
Die Umsetzung der Grünen Architektur der Gemeinsamen Agrarpolitik in Deutschland : Bessere Förderbedingungen für die Biodiversität in der Agrarlandschaft?;10.1399/NuL.2024.01.02
Germany's public EV charging points: Analysing the 2023 state of expansion;10.1111/geoj.12570
Thresholds of seascape fauna composition along gradients of human pressures and natural conditions to inform marine spatial planning;10.1016/j.scitotenv.2024.169940
Challenging the black box: A comprehensive evaluation of attribution maps of CNN applications in agriculture and forestry;10.5220/0012363400003660
Sustainability of Southern African ecosystems under global change : Science for management and policy interventions;10.1007/978-3-031-10948-5
Unique Southern African terrestrial and oceanic biomes and their relation to steep environmental gradients;10.1007/978-3-031-10948-5_2
Studies of the ecology of the Benguela Current Upwelling System: The TRAFFIC approach;10.1007/978-3-031-10948-5_11
Public policies and social actions to prevent the loss of the Chiquitano Dry Forest;10.3390/su16030969
Leverage points for sustainability transformation: Identifying past and future changes in the Finnish (circular) plastic packing system;10.1016/j.ecolecon.2024.108136
Stock discrimination of two European squids (Illex coindetii, Loligo forbesii) by statolith shape analysis;10.1111/fme.12689
Factors explaining the willingness of small-scale private forest owners to engage in forestry - A German case study;10.3390/f15020319
Analyse der Ergebnisse der Viehzählung vom 3. Nov. 2023 und Prognose der Rind- und Schweinefleischerzeugung in Deutschland 2024;10.3220/WP1707812786000
InnoRind - Stand der Forschung zur Ökonomie der Tierwohlmaßnahmen;10.3220/PB1708068774000
"Berechnung der einzelbetrieblichen Kosten einer Teilnahme am ""Bundesprogramm zur Förderung des Umbaus der Tierhaltung"" in der Schweinehaltung";10.3220/WP1708069947000
CarboCheck - practical app for soil carbon management in agriculture;10.3220/PB1706251873000
Combination of milk variables and on-farm data as an improved diagnostic tool for metabolic status evaluation in dairy cattle during the transition period;10.3168/jds.2023-23693
Technical efficiency drivers of farmer-led restoration strategies, and how substantial is the unrealised potential for farm output?;10.1016/j.agsy.2023.103799
"Working Group on Recreational Fisheries Surveys (WGRFS; outputs from 2023 meeting)";10.17895/ices.pub.25067702
Assimilating Sentinel-2 data in a modified vegetation photosynthesis and respiration model (VPRM) to improve the simulation of croplands CO2 fluxes in Europe;10.1016/j.jag.2024.103666
Relationship between animal-based on-farm indicators and meat inspection data in pigs;10.1186/s40813-024-00359-9
DMP: Predictability of color changes of wood used indoor - A new approach to evaluate the colour change as a function of the radiation dose : Research Data Management Questionnaire;10.5281/zenodo.8084673
Subsidization of small-scale private forests in Europe needs a clearer definition of objectives;10.3220/PB1694002632000
Sources, pathways, and abatement strategies of macroplastic pollution: an interdisciplinary approach for the southern North Sea;10.3389/fmars.2023.1148714
Development of climate smart fruit plants via CRISPR/Cas genome editing systems: A spatiotemporal review;10.20944/preprints202305.1887.v1
"""We prefer local but consume imported"": Results from a qualitative study of dairy consumers in Senegal";10.1080/08974438.2021.1986453
Baltic International Fish Survey Working Group (WGBIFS);10.17895/ices.pub.23675049
